"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dtype","framework","num_models","mode","ConvNet with Global Pooling Benchmark Time.combined.max","ConvNet with Global Pooling Benchmark Time.combined.mean","ConvNet with Global Pooling Benchmark Time.combined.median","ConvNet with Global Pooling Benchmark Time.combined.min","ConvNet with Global Pooling Benchmark Time.combined.std","ConvNet with Global Pooling Benchmark Time.fprop.max","ConvNet with Global Pooling Benchmark Time.fprop.mean","ConvNet with Global Pooling Benchmark Time.fprop.median","ConvNet with Global Pooling Benchmark Time.fprop.min","ConvNet with Global Pooling Benchmark Time.fprop.std","4-layer MLP Benchmark Time.bprop.max","4-layer MLP Benchmark Time.bprop.mean","4-layer MLP Benchmark Time.bprop.median","4-layer MLP Benchmark Time.bprop.min","4-layer MLP Benchmark Time.bprop.std","4-layer MLP Benchmark Time.combined.max","4-layer MLP Benchmark Time.combined.mean","4-layer MLP Benchmark Time.combined.median","4-layer MLP Benchmark Time.combined.min","4-layer MLP Benchmark Time.combined.std","4-layer MLP Benchmark Time.fprop.max","4-layer MLP Benchmark Time.fprop.mean","4-layer MLP Benchmark Time.fprop.median","4-layer MLP Benchmark Time.fprop.min","4-layer MLP Benchmark Time.fprop.std","Conv Layer Benchmark Time.combined.max","Conv Layer Benchmark Time.combined.mean","Conv Layer Benchmark Time.combined.median","Conv Layer Benchmark Time.combined.min","Conv Layer Benchmark Time.combined.std","Conv Layer Benchmark Time.fprop.max","Conv Layer Benchmark Time.fprop.mean","Conv Layer Benchmark Time.fprop.median","Conv Layer Benchmark Time.fprop.min","Conv Layer Benchmark Time.fprop.std","ConvNet with Global Pooling Benchmark Time.bprop.max","ConvNet with Global Pooling Benchmark Time.bprop.mean","ConvNet with Global Pooling Benchmark Time.bprop.median","ConvNet with Global Pooling Benchmark Time.bprop.min","ConvNet with Global Pooling Benchmark Time.bprop.std","MLP Benchmark Time.combined.max","MLP Benchmark Time.combined.mean","MLP Benchmark Time.combined.median","MLP Benchmark Time.combined.min","MLP Benchmark Time.combined.std","MLP Benchmark Time.fprop.max","MLP Benchmark Time.fprop.mean","MLP Benchmark Time.fprop.median","MLP Benchmark Time.fprop.min","MLP Benchmark Time.fprop.std","error"
"pytorch-benchmark-B50-N50-dtype<class 'jax.numpy.bfloat16'>-modejit-typefour_conv","finished","-","evolvingfungus","","2023-10-16T19:58:59.000Z","66","","50","jax.numpy.bfloat16","jax","50","","0.06094479560852051","0.04329344987869263","0.05664730072021485","0.001885414123535156","0.0239763625525768","0.06094479560852051","0.04329344987869263","0.05664730072021485","0.001885414123535156","0.0239763625525768","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pytorch-benchmark-B50-N50-dtype<class 'jax.numpy.bfloat16'>-modejit-type('four_mlp',)","finished","-","evolvingfungus","","2023-10-16T19:58:40.000Z","8","","50","jax.numpy.bfloat16","jax","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pytorch-benchmark-B50-N50-dtype<class 'jax.numpy.bfloat16'>-modejit-type('single_conv',)","finished","-","evolvingfungus","","2023-10-16T19:58:22.000Z","8","","50","jax.numpy.bfloat16","jax","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pytorch-benchmark-B50-N50-dtype<class 'jax.numpy.bfloat16'>-modejit-type('single_mlp',)","finished","-","evolvingfungus","","2023-10-16T19:58:02.000Z","9","","50","jax.numpy.bfloat16","jax","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pytorch-benchmark-B50-N10-dtype<class 'jax.numpy.bfloat16'>-modejit-typefour_conv","finished","-","evolvingfungus","","2023-10-16T19:57:28.000Z","23","","10","jax.numpy.bfloat16","jax","50","","0.006821632385253906","0.004187526702880859","0.006021022796630859","0.001296281814575195","0.0023778522569601825","0.006821632385253906","0.004187526702880859","0.006021022796630859","0.001296281814575195","0.0023778522569601825","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pytorch-benchmark-B50-N10-dtype<class 'jax.numpy.bfloat16'>-modejit-type('four_mlp',)","finished","-","evolvingfungus","","2023-10-16T19:57:10.000Z","8","","10","jax.numpy.bfloat16","jax","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pytorch-benchmark-B50-N10-dtype<class 'jax.numpy.bfloat16'>-modejit-type('single_conv',)","finished","-","evolvingfungus","","2023-10-16T19:56:52.000Z","8","","10","jax.numpy.bfloat16","jax","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pytorch-benchmark-B50-N10-dtype<class 'jax.numpy.bfloat16'>-modejit-type('single_mlp',)","finished","-","evolvingfungus","","2023-10-16T19:56:33.000Z","8","","10","jax.numpy.bfloat16","jax","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pytorch-benchmark-B50-N1-dtype<class 'jax.numpy.bfloat16'>-modejit-typefour_conv","finished","-","evolvingfungus","","2023-10-16T19:56:08.000Z","14","","1","jax.numpy.bfloat16","jax","50","","0.0028374195098876953","0.001808464527130127","0.0015919208526611328","0.0015599727630615234","0.00042230517033448023","0.0028374195098876953","0.001808464527130127","0.0015919208526611328","0.0015599727630615234","0.00042230517033448023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pytorch-benchmark-B50-N1-dtype<class 'jax.numpy.bfloat16'>-modejit-type('four_mlp',)","finished","-","evolvingfungus","","2023-10-16T19:55:50.000Z","8","","1","jax.numpy.bfloat16","jax","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
